date,1196428"_1,409000362497"_1,409000438611"_1,409000438620"_1
20181213,20199440.0,2319390.83,14700000.0,2307443.66
20181214,56984496.06,2232927.52,14800700.9,2100000.0
20181215,53790.0,1932447.74,8000000.0,2005000.0
20181217,60500719.29,1932000.15,28000000.0,3001508.8
20181218,15000000.0,2413058.98,9500000.0,1500000.0
20181219,16847151.5,2637694.63,9600120.89,1601005.9
20181220,16554258.0,2375057.01,12300000.0,2000000.0
20181221,14432636.25,4451554.01,6000000.0,900000.0
20181224,35674512.33,1384692.86,27500000.0,2500000.0
20181225,0.0,0.0,0.0,0.0
20181226,15660754.0,3305899.62,9500000.0,4000000.0
20181227,26693137.340000004,6856680.6400000015,12442665.53,2000000.0
20181228,12287102.0,1493674.0399999996,4018786.1,1515000.0
20181229,8411918.0,1069323.96,7000000.0,1507541.3
20181231,22591095.0,4262969.11,16500000.0,2000000.0
